Phi,PYS-2017-200137,PYS-2017-200138,PYS-2017-200139,PYS-2017-200141,PYS-2017-200142,PYS-2017-200144,PYS-2017-200145,PYS-2017-200146,PYS-2017-200147,PYS-2017-200148,PYS-2017-200149,PYS-2017-200150,PYS-2017-200151,PYS-2017-200152,PYS-2017-200153,PYS-2017-200127,PYS-2017-200128,PYS-2017-200129,PYS-2017-200130,PYS-2017-200131,PYS-2017-200132,PYS-2017-200133,PYS-2017-200135,PYS-2017-200136,PYS-2017-FAC,PYS-2017-IOB,PYS-2017-IPP,PYS-2017-ISV,PYS-2017-MAX
3.11,1.524,3.44,1.486,2.155,1.757,2.354,1.962,1.673,1.421,1.206,1.326,1.193,1.351,0.89,1.1,2.09,1.542,1.917,1.842,2.083,1.624,1.841,1.94,1.362,4.177,3.302,2.37,2.892,2.881
2.91,1.819,3.81,1.725,1.79,1.522,1.89,1.62,1.559,1.284,0.896,1.042,0.994,1.017,0.818,0.987,2.353,1.475,2.077,1.926,2.17,1.697,1.828,1.806,1.493,5.159,3.632,2.549,2.686,3.055
2.71,1.883,3.382,1.999,1.478,1.284,1.698,1.857,1.65,1.618,0.755,0.937,0.947,0.893,0.669,0.864,2.535,1.726,2.174,2.014,2.327,1.988,1.781,1.91,1.622,5.396,4.216,2.847,2.366,3.362
2.52,1.621,2.445,2.506,1.195,1.165,1.479,1.812,1.806,1.87,0.507,0.687,0.74,0.67,0.451,0.635,2.853,2.089,2.464,2.343,2.556,2.271,1.864,1.95,1.907,4.274,4.864,3.196,1.994,3.719
2.32,1.064,1.324,3.105,0.812,0.906,1.052,1.408,1.653,1.802,0.267,0.399,0.451,0.402,0.237,0.366,2.845,2.313,2.608,2.56,2.397,2.202,1.741,1.685,2.228,2.334,5.16,3.445,1.53,3.966
2.13,0.541,0.529,3.512,0.456,0.588,0.601,0.837,1.21,1.369,0.113,0.184,0.215,0.195,0.1,0.168,2.362,2.244,2.435,2.513,1.832,1.726,1.389,1.19,2.482,0.867,4.642,3.333,1.005,3.764
1.93,0.223,0.161,3.362,0.213,0.318,0.28,0.377,0.69,0.789,0,0,0,0,0,0,1.568,1.835,1.921,2.153,1.114,1.059,0.931,0.679,2.548,0.231,3.23,2.686,0.532,2.934
1.73,0,0,2.545,0,0,0,0,0.384,0.439,0,0,0,0,0,0,0.813,1.225,1.243,1.558,0.538,0.507,0.518,0.377,2.367,0,1.619,1.712,0,1.74
1.54,0,0,1.456,0,0,0,0,0,0,0,0,0,0,0,0,0.452,0.656,0.647,0.93,0,0,0,0,1.315,0,0.573,0.85,0,0.773
1.34,0,0,0.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364,0.359,0.517,0,0,0,0,0.73,0,0.318,0.327,0,0
1.15,0,0,0.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406,0,0,0,0,0
0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
